venue_name,capacity,sport,source,city,country
Prudential Center,18711.0,Basketball,https://en.wikipedia.org/wiki/List_of_NBA_arenas,Newark,USA
Crypto.com ArenaStaples Center,19067.0,Basketball,https://en.wikipedia.org/wiki/List_of_NBA_arenas,,
Benchmark International ArenaAmalie ArenaTampa Bay Times ForumSt. Pete Times ForumIce Palace,20500.0,Basketball,https://en.wikipedia.org/wiki/List_of_NBA_arenas,,
General Motors PlaceRogers Arena,19193.0,Basketball,https://en.wikipedia.org/wiki/List_of_NBA_arenas,,
Alamodome,20557.0,Basketball,https://en.wikipedia.org/wiki/List_of_NBA_arenas,,
San Jose ArenaSAP Center at San JoseHP Pavilion at San JoseCompaq Center at San Jose,18500.0,Basketball,https://en.wikipedia.org/wiki/List_of_NBA_arenas,,
Arrowhead Pond of AnaheimHonda CenterPond of Anaheim,18336.0,Basketball,https://en.wikipedia.org/wiki/List_of_NBA_arenas,,
Georgia Dome,71228.0,Basketball,https://en.wikipedia.org/wiki/List_of_NBA_arenas,,
Pyramid Arena,20142.0,Basketball,https://en.wikipedia.org/wiki/List_of_NBA_arenas,,
SkyDomeRogers Centre,28708.0,Basketball,https://en.wikipedia.org/wiki/List_of_NBA_arenas,,
Amway ArenaThe Arena in OrlandoTD Waterhouse CentreOrlando Arena,17283.0,Basketball,https://en.wikipedia.org/wiki/List_of_NBA_arenas,,
Sleep Train ArenaPower Balance PavilionARCO Arena,17317.0,Basketball,https://en.wikipedia.org/wiki/List_of_NBA_arenas,,
The Palace of Auburn Hills,22076.0,Basketball,https://en.wikipedia.org/wiki/List_of_NBA_arenas,,
Bradley CenterBMO Harris Bradley Center,18717.0,Basketball,https://en.wikipedia.org/wiki/List_of_NBA_arenas,,
Miami Arena,15200.0,Basketball,https://en.wikipedia.org/wiki/List_of_NBA_arenas,,
Charlotte Coliseum,24042.0,Basketball,https://en.wikipedia.org/wiki/List_of_NBA_arenas,,
ARCO ArenaSacramento Sports Arena,10333.0,Basketball,https://en.wikipedia.org/wiki/List_of_NBA_arenas,,
Copps ColiseumTD ColiseumHamilton ArenaFirstOntario Centre,18800.0,Basketball,https://en.wikipedia.org/wiki/List_of_NBA_arenas,,
Lakefront Arena,8933.0,Basketball,https://en.wikipedia.org/wiki/List_of_NBA_arenas,,
Thomas & Mack Center,18500.0,Basketball,https://en.wikipedia.org/wiki/List_of_NBA_arenas,,
Tacoma Dome,17100.0,Basketball,https://en.wikipedia.org/wiki/List_of_NBA_arenas,,
Hubert H. Humphrey Metrodome,50000.0,Basketball,https://en.wikipedia.org/wiki/List_of_NBA_arenas,,
Izod CenterMeadowlands ArenaContinental Airlines ArenaBrendan Byrne Arena,20049.0,Basketball,https://en.wikipedia.org/wiki/List_of_NBA_arenas,,
Reunion Arena,18293.0,Basketball,https://en.wikipedia.org/wiki/List_of_NBA_arenas,,
Joe Louis Arena,20153.0,Basketball,https://en.wikipedia.org/wiki/List_of_NBA_arenas,,
Rutgers Athletic CenterLouis Brown Athletic Center,8500.0,Basketball,https://en.wikipedia.org/wiki/List_of_NBA_arenas,,
Kingdome,59166.0,Basketball,https://en.wikipedia.org/wiki/List_of_NBA_arenas,,
The SummitLakewood Church Central CampusCompaq Center,16285.0,Basketball,https://en.wikipedia.org/wiki/List_of_NBA_arenas,,
Louisiana SuperdomeCaesars SuperdomeMercedes-Benz Superdome,55675.0,Basketball,https://en.wikipedia.org/wiki/List_of_NBA_arenas,,
McNichols Sports Arena,17171.0,Basketball,https://en.wikipedia.org/wiki/List_of_NBA_arenas,,
Pontiac SilverdomePontiac Metropolitan Stadium,33000.0,Basketball,https://en.wikipedia.org/wiki/List_of_NBA_arenas,,
Hartford Civic CenterXL CenterPeoplesBank Arena,16294.0,Basketball,https://en.wikipedia.org/wiki/List_of_NBA_arenas,,
Market Square Arena,16530.0,Basketball,https://en.wikipedia.org/wiki/List_of_NBA_arenas,,
Richfield Coliseum,20273.0,Basketball,https://en.wikipedia.org/wiki/List_of_NBA_arenas,,
Kemper ArenaHy-Vee ArenaMosaic Arena,16700.0,Basketball,https://en.wikipedia.org/wiki/List_of_NBA_arenas,,
US Airways ArenaCapital Centre,18756.0,Basketball,https://en.wikipedia.org/wiki/List_of_NBA_arenas,,
Omni Coliseum,16378.0,Basketball,https://en.wikipedia.org/wiki/List_of_NBA_arenas,,
Nassau Coliseum,14890.0,Basketball,https://en.wikipedia.org/wiki/List_of_NBA_arenas,,
Oracle ArenaOakland ArenaThe Arena in OaklandOakland-Alameda County Coliseum,19596.0,Basketball,https://en.wikipedia.org/wiki/List_of_NBA_arenas,,
Hofheinz PavilionFertitta Center,10000.0,Basketball,https://en.wikipedia.org/wiki/List_of_NBA_arenas,,
Salt Palace,12686.0,Basketball,https://en.wikipedia.org/wiki/List_of_NBA_arenas,,
Tarrant County Convention Center,16057.0,Basketball,https://en.wikipedia.org/wiki/List_of_NBA_arenas,,
HemisFair Arena,16057.0,Basketball,https://en.wikipedia.org/wiki/List_of_NBA_arenas,,
The ForumKia ForumGreat Western Forum,17505.0,Basketball,https://en.wikipedia.org/wiki/List_of_NBA_arenas,,
The SpectrumWachovia SpectrumFirst Union SpectrumCoreStates Spectrum,18176.0,Basketball,https://en.wikipedia.org/wiki/List_of_NBA_arenas,,
San Diego Sports ArenaPechanga ArenaValley View Casino CenteriPayOne CenterSan Diego International Sports Center,14500.0,Basketball,https://en.wikipedia.org/wiki/List_of_NBA_arenas,,
Arizona Veterans Memorial Coliseum,14870.0,Basketball,https://en.wikipedia.org/wiki/List_of_NBA_arenas,,
Baltimore Civic CenterCFG Bank ArenaRoyal Farms Arena1st Mariner ArenaBaltimore Arena,11271.0,Basketball,https://en.wikipedia.org/wiki/List_of_NBA_arenas,,
KeyArena at Seattle CenterClimate Pledge ArenaSeattle Center Coliseum,17072.0,Basketball,https://en.wikipedia.org/wiki/List_of_NBA_arenas,,
Long Beach Arena,13609.0,Basketball,https://en.wikipedia.org/wiki/List_of_NBA_arenas,,
Cobo Arena,12191.0,Basketball,https://en.wikipedia.org/wiki/List_of_NBA_arenas,,
Memorial ColiseumVeterans Memorial Coliseum,12888.0,Basketball,https://en.wikipedia.org/wiki/List_of_NBA_arenas,,
Los Angeles Memorial Sports Arena,16161.0,Basketball,https://en.wikipedia.org/wiki/List_of_NBA_arenas,,
USFWar Memorial Gymnasium,5300.0,Basketball,https://en.wikipedia.org/wiki/List_of_NBA_arenas,,
Dallas Memorial AuditoriumKay Bailey Hutchison Convention CenterDallas Convention Center,9815.0,Basketball,https://en.wikipedia.org/wiki/List_of_NBA_arenas,,
Long Island ArenaCommack Arena,6000.0,Basketball,https://en.wikipedia.org/wiki/List_of_NBA_arenas,,
Moody Coliseum,8998.0,Basketball,https://en.wikipedia.org/wiki/List_of_NBA_arenas,,
Alexander Memorial ColiseumHank McCamish PavilionAlexander Memorial Coliseum at McDonald's Center,9191.0,Basketball,https://en.wikipedia.org/wiki/List_of_NBA_arenas,,
